"","date","ratio_upt_pre","ratio_upt_pre_bus","ratio_upt_pre_rail","workplaces_time","reopened","INDIVIDUAL_gap_z","cases_p","dose2_cum","ratio_vrm_pre","ratio_vrm_pre_bus","ratio_vrm_pre_rail","pop_month","month","MSA.Code","flex_pct","val_upt","val_upt_bus","val_upt_rail","val_vrm","val_vrm_bus","val_vrm_rail","pct_transitcommute","pct_noveh"
"1928","2021-08-01",0.544020459894985,0.544020459894985,NA,-0.338709677419355,1,-0.000597651230663492,0.0069935541927091,0.601,0.865258239159743,0.865258239159743,NA,100393,8,"C2706",0.332078529437571,192296,192296,NA,122582,122582,NA,0.0631148201902919,0.129945855893378
"1929","2021-09-01",1.0136644486692,1.0136644486692,NA,-0.310333333333333,1,-0.000388624270083903,0.00947797764018897,0.638,0.93858305510655,0.93858305510655,NA,100354,9,"C2706",0.330055580218414,358302,358302,NA,132970,132970,NA,0.0631148201902919,0.129945855893378
"1930","2021-10-01",0.964478091616875,0.964478091616875,NA,-0.206129032258065,1,-0.000498484606795342,0.00522315795651281,0.667,0.949439193624666,0.949439193624666,NA,100304,10,"C2706",0.327703993944521,340916,340916,NA,134508,134508,NA,0.0631148201902919,0.129945855893378
"1931","2021-11-01",0.858198103385841,0.858198103385841,NA,-0.244333333333333,1,-0.00164770968353988,0.00727720883828751,0.685,0.890930395070268,0.890930395070268,NA,100139,11,"C2706",0.327915083003249,303349,303349,NA,126219,126219,NA,0.0631148201902919,0.129945855893378
"1932","2021-12-01",0.52182633985153,0.52182633985153,NA,-0.349354838709677,1,-0.00194106758717295,0.0404061152029109,0.719,0.829089933719674,0.829089933719674,NA,99945,12,"C2706",0.330830612706308,184451,184451,NA,117458,117458,NA,0.0631148201902919,0.129945855893378
"1933","2020-04-01",0.391847269138801,0.391847269138801,NA,-0.500333333333333,0,0.000277618287473737,0.00434964026957654,0,0.905357296414137,0.905357296414137,NA,158491,4,"C2710",0.298844774477448,15486,15486,NA,26321,26321,NA,0.00376667155210318,0.0689211778320689
"1934","2020-05-01",0.317354284485267,0.317354284485267,NA,-0.382258064516129,0,0.000416254091588514,0.00677102431499488,0,0.574941955456187,0.574941955456187,NA,158557,5,"C2710",0.290593074043261,12542,12542,NA,16715,16715,NA,0.00376667155210318,0.0689211778320689
"1935","2020-06-01",0.520717096190585,0.520717096190585,NA,-0.256,0,1.8920282542886e-05,0.0018144574961751,0,0.829718806432195,0.829718806432195,NA,158560,6,"C2710",0.282477565164984,20579,20579,NA,24122,24122,NA,0.00376667155210318,0.0689211778320689
"1936","2020-07-01",0.596475247023697,0.596475247023697,NA,-0.275806451612903,0,5.67576260176958e-05,0.0018903233148305,0,0.98433227276636,0.98433227276636,NA,158569,7,"C2710",0.279851796186603,23573,23573,NA,28617,28617,NA,0.00376667155210318,0.0689211778320689
"1937","2020-08-01",0.572512999582495,0.572512999582495,NA,-0.23258064516129,0,-0.000170301875843625,0.00102418855184796,0,0.94319373978846,0.94319373978846,NA,158542,8,"C2710",0.2801472300686,22626,22626,NA,27421,27421,NA,0.00376667155210318,0.0689211778320689
"1938","2020-09-01",0.57732063106489,0.57732063106489,NA,-0.245333333333333,0,2.52292710002144e-05,0.00195986698193129,0,0.9216613638318,0.9216613638318,NA,158546,9,"C2710",0.280569703155567,22816,22816,NA,26795,26795,NA,0.00376667155210318,0.0689211778320689
"1939","2020-10-01",0.601131058564542,0.601131058564542,NA,-0.197741935483871,0,-0.000959632309304645,0.00523474148722293,0,0.953615960099751,0.953615960099751,NA,158394,10,"C2710",0.278306540246576,23757,23757,NA,27724,27724,NA,0.00376667155210318,0.0689211778320689
"1940","2020-11-01",0.497083791956073,0.497083791956073,NA,-0.278666666666667,0,-0.000758178854391751,0.0206734355835978,0,0.865594634104394,0.865594634104394,NA,158274,11,"C2710",0.279003690560681,19645,19645,NA,25165,25165,NA,0.00376667155210318,0.0689211778320689
"1941","2020-12-01",0.470844245391632,0.470844245391632,NA,-0.32,0,-0.00104358385670645,0.0215206038919165,0,0.871648465044286,0.871648465044286,NA,158109,12,"C2710",0.284230361694207,18608,18608,NA,25341,25341,NA,0.00376667155210318,0.0689211778320689
"1942","2021-01-01",0.492934046887059,0.492934046887059,NA,-0.255483870967742,0,-0.000601212550786639,0.0187515015109942,0,0.89689569180497,0.89689569180497,NA,158014,1,"C2710",0.296722219129273,19481,19481,NA,26075,26075,NA,0.00376667155210318,0.0689211778320689
"1943","2021-02-01",0.492934046887059,0.492934046887059,NA,-0.228214285714286,0,-0.000145577912665911,0.00531060730587834,0,0.869791039642274,0.869791039642274,NA,157991,2,"C2710",0.294762197127508,19481,19481,NA,25287,25287,NA,0.00376667155210318,0.0689211778320689
