"MSA.Code","MSA.Title","MSA.Name","date","ridership","ridership2019","ridership_19pct","onsite_pct","iv","net_mig_rate","vrm","vrm_19pct","covid_cases","vaccine","reopened","pop_million","transitcommute_pct","noveh_pct"
"C2070","East Stroudsburg, PA","",2022-03-01,20153,19468,103.518594616807,83.6451612903226,21.100213680921,-0.161246976619188,32146,70.1249972731834,0.00151637207979908,0.676,1,0.167445,3.48631557517845,4.84570475396163
"C2070","East Stroudsburg, PA","",2022-04-01,20339,21407,95.010977717569,82.8,NA,-0.567672542575441,33013,71.0491767997417,0.00333483390987063,0.684,1,0.16735,3.48631557517845,4.84570475396163
"C2070","East Stroudsburg, PA","",2022-05-01,16862,21644,77.9061171687304,81.9032258064516,NA,-0.155387153068299,32542,70.7234911872732,0.00764701701179927,0.69,1,0.167324,3.48631557517845,4.84570475396163
"C2070","East Stroudsburg, PA","",2022-06-01,18951,21796,86.9471462653698,79.1333333333333,NA,-0.0119530008008511,31585,74.2582404664504,0.00924039236127565,0.696,1,0.167322,3.48631557517845,4.84570475396163
"C2070","East Stroudsburg, PA","",2022-07-01,17636,28970,60.8767690714532,76.6451612903226,NA,-0.609974883387155,27583,71.5419530540786,0.00638534805477894,0.7,1,0.16722,3.48631557517845,4.84570475396163
"C2070","East Stroudsburg, PA","",2022-08-01,18123,29134,62.2056703507929,78.4838709677419,NA,-0.0897102359379205,32664,81.8379976448776,0.00864805951760413,0.705,1,0.167205,3.48631557517845,4.84570475396163
"C2074","Eau Claire, WI","",2020-04-01,17472,103269,16.9189204892078,62.4076436517763,37.9987288023842,-0.389629851640941,54045,86.2388102570649,0.000184187229289334,0,0,0.166825,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2020-05-01,19046,84712,22.483237321749,71.1300929513683,36.4179018144065,-0.833903267221002,48535,80.1105884294792,0.000677333681902713,0,0,0.166686,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2020-06-01,23909,44251,54.0304173916974,79.5665758695981,35.1444696155822,-0.558246745061317,52950,102.453465423165,0.000885287005293897,0,0,0.166593,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2020-07-01,28682,46381,61.8399775770251,75.7928843269673,34.8550229451588,-0.618655775121629,56144,98.7425033855678,0.00219242218089563,0,1,0.16649,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2020-08-01,28487,46198,61.6628425472964,77.0723173546222,34.681336316991,-0.402588584510554,51895,89.4016917325616,0.00276874996286548,0,1,0.166423,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2020-09-01,39016,64974,60.0486348385508,79.9491195882228,34.6610079395598,-0.270468451357752,58926,99.0053429214691,0.00882910395883713,0,1,0.166378,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2020-10-01,36854,76787,47.9951033378046,84.9214013969629,35.5636567555959,-0.980657582047348,63169,93.2273679860681,0.0191554718460908,0,0,0.166215,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2020-11-01,28609,78033,36.6626939884408,77.3588090020089,35.7385798161606,-0.656207481969345,56898,97.6856779864712,0.0401825236027022,0,0,0.166106,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2020-12-01,24127,72769,33.1556019733678,77.7376717537675,35.9824047204488,-1.42883842068138,58314,102.034960018197,0.0169749327122461,0,1,0.165869,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2021-01-01,21263,42042,50.5756148613291,83.4303759816789,35.0378504217249,-0.560997973168613,50719,94.0651718318218,0.0139566387613112,0,1,0.165776,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2021-02-01,37689,108246,34.8179147497367,85.855410719027,35.008510277293,-0.802931605923583,57635,99.0377180170118,0.00419471560897645,0,1,0.165643,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2021-03-01,42604,95985,44.3861019951034,86.4942624203698,34.7377389639909,-0.501328823387292,65976,110.206127017005,0.00250732292774513,0.185,1,0.16556,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2021-04-01,38149,103269,36.9413860887585,87.8976385518422,34.6012291185658,0.211359038618316,62106,99.1016291946576,0.00215677303974285,0.353,1,0.165595,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2021-05-01,28084,84712,33.1523278874304,87.8942702201644,34.2167714272886,-1.38480703409407,53329,88.0234381447553,0.00177651553411326,0.446,1,0.165366,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2021-06-01,24908,44251,56.2879934916725,84.4103682691837,34.1385914552737,-0.792810239961267,53107,102.757246236601,0.000505029499664304,0.495,1,0.165235,0.483576852941855,5.50217307749165
"C2074","Eau Claire, WI","",2021-07-01,25324,46381,54.5999439425627,82.3270485048269,34.0983069373188,-0.841934389688424,52371,92.1067904817179,0.00139625802848366,0.518,1,0.165096,0.483576852941855,5.50217307749165
