state,date,vmt,vmt19,vmt_19pct,onsite_pct,iv,net_mig_rate,vrm,vrm_19pct,covid_cases,cases_p_1000,vacc_cum,dose1_cum,vacc_cum_pct,vaccine_p,dose_tot_p,dose_p_lag3,dose_p_lag3_6,dose_p_lag6_9,vaccine_p_1000,reopened,pop_million_old,gdp,gdp_pct,gdp_p,gdp_p_in1000,inc_p,inc_p_pct,ppl_persqkm,UR,UR_19_pct,transitcommute_pct,noveh_pct,fare,swaa_wfh,swaa_sample_count,year,pop_million,l_pop_million
AL,2021-02-01,4837,5098,94.8803452334249,78.2873265128124,29.3306079276733,-0.0690914636065826,111361.035927074,90.3350815777632,0.0068709212017989,6.87092120179899,0.0,0.133,0.0,0.19728454195017,0.19728454195017,0.19728454195017,0.0,0.0,197.28454195017,1,4.892066,17250.15,102.41620992073,3526.14825719849,3.52614825719849,52655.0,122.976854987505,36.521700550376,3.9,108.333333333333,0.3306044606679915,5.604306501949834,0.2417176397359081,35.43,34.0,2021,5.049846,1.6193577477727799
AL,2021-03-01,5912,6039,97.8970028150356,80.6264092209711,29.2771379120206,-0.123071538500539,123410.116892466,95.1931359485655,0.0045254345120397,4.52543451203975,0.134,0.236,13.4,0.165483585282443,0.362792407344713,0.362768127232613,0.0,0.0,165.483585282443,1,4.891464,17250.15,102.41620992073,3526.58222568949,3.52658222568949,52655.0,122.976854987505,36.521700550376,3.7,108.823529411765,0.3306044606679915,5.604306501949834,0.2417176397359081,49.13,16.0,2021,5.049846,1.6193577477727799
AL,2021-04-01,5969,6410,93.1201248049922,81.1843267377664,29.3404334484159,-0.108568242500971,120555.835828755,90.9843109822442,0.0025627012269438,2.56270122694382,0.233,0.324,23.3,0.181737921987482,0.544569717066253,0.544506049220095,0.0,0.0,181.737921987482,1,4.890933,17488.0916666667,103.419555269069,3575.6146458491,3.5756146458491,48362.0,112.078794901506,36.521700550376,3.6,109.090909090909,0.3306044606679915,5.604306501949834,0.2417176397359081,31.05,48.0,2021,5.049846,1.6193577477727799
AL,2021-05-01,6193,6463,95.8223735107535,81.2235692618091,29.2462246628688,-0.240093632426465,115641.927599537,85.8425395544068,0.0031664137230485,3.16641372304852,0.292,0.36,29.2,0.0911077621616934,0.635808226949426,0.438329269431618,0.19728454195017,0.0,91.1077621616934,1,4.889759,17488.0916666667,103.419555269069,3576.47312815758,3.57647312815758,48362.0,112.078794901506,36.521700550376,3.5,112.903225806452,0.3306044606679915,5.604306501949834,0.2417176397359081,31.15,51.0,2021,5.049846,1.6193577477727799
AL,2021-06-01,6353,6391,99.4054138632452,80.6274144930383,29.1098920318028,-0.197390194800599,118613.999304176,94.919697946832,0.0015500755401025,1.55007554010253,0.325,0.399,32.5,0.0690049529597688,0.704938682218968,0.341850637108944,0.362768127232613,0.0,69.0049529597688,1,4.888794,17488.0916666667,103.419555269069,3577.17908888504,3.57717908888504,48362.0,112.078794901506,36.521700550376,3.5,116.666666666667,0.3306044606679915,5.604306501949834,0.2417176397359081,28.27,58.0,2021,5.049846,1.6193577477727799
AL,2021-07-01,6150,6261,98.2271202683277,78.7992996072779,29.1898913608612,-0.127859736437099,120038.65008799,81.5097025055463,0.007083224823037,7.08322482303701,0.343,0.432,34.3,0.0497756931071737,0.754804508600255,0.209888408228636,0.544506049220095,0.0,49.7756931071737,1,4.888169,17502.425,102.840199658618,3580.56871601616,3.58056871601616,48504.0,111.624053575127,36.521700550376,3.3,110.0,0.3306044606679915,5.604306501949834,0.2417176397359081,32.23,60.0,2021,5.049846,1.6193577477727799
AL,2021-08-01,5924,6471,91.5469015608098,80.7940106119067,29.2075320444056,-0.0787678015231442,119171.747221504,81.9823723152285,0.0233484131049981,23.3484131049981,0.383,0.498,38.3,0.111169397010997,0.866033359902974,0.22995004307794,0.438329269431618,0.19728454195017,111.169397010997,1,4.887784,17502.425,102.840199658618,3580.85074954212,3.58085074954212,48504.0,111.624053575127,36.521700550376,3.2,106.666666666667,0.3306044606679915,5.604306501949834,0.2417176397359081,41.28,62.0,2021,5.049846,1.6193577477727799
AL,2021-09-01,5623,5815,96.6981943250215,82.0875062134481,29.1968247980829,-0.0313035087959791,118727.156543149,85.6242991442061,0.0197940474638941,19.7940474638941,0.426,0.527,42.6,0.079059568940454,0.945120038726328,0.240004659058625,0.341850637108944,0.362768127232613,79.059568940454,1,4.887631,17502.425,102.840199658618,3580.96284273506,3.58096284273506,48504.0,111.624053575127,36.521700550376,3.1,103.333333333333,0.3306044606679915,5.604306501949834,0.2417176397359081,19.61,51.0,2021,5.049846,1.6193577477727799
AL,2021-10-01,6263,5922,105.758189800743,85.4733547378669,29.3461607143302,0.0429637543447097,118416.18176653,78.323276546141,0.007277650807381,7.27765080738101,0.448,0.545,44.8,0.0710949885644807,1.01617442138564,0.261323954515932,0.209888408228636,0.544506049220095,71.0949885644807,1,4.887841,17752.4333333333,104.188182082285,3631.9580226389,3.6319580226389,49150.0,112.479117559558,36.521700550376,2.9,96.6666666666667,0.3306044606679915,5.604306501949834,0.2417176397359081,36.15,53.0,2021,5.049846,1.6193577477727799
AL,2021-11-01,5909,5530,106.853526220615,81.0609719851868,29.2827938788477,-0.0364182227784526,116119.533885655,87.6049812926218,0.0028058399279983,2.80583992799831,0.462,0.565,46.2,0.0749006222401176,1.09111205089222,0.225055179745052,0.22995004307794,0.438329269431618,74.9006222401176,1,4.887663,17752.4333333333,104.188182082285,3632.09029209529,3.63209029209529,49150.0,112.479117559558,36.521700550376,2.8,93.3333333333333,0.3306044606679915,5.604306501949834,0.2417176397359081,33.24,45.0,2021,5.049846,1.6193577477727799
