"MSA.Code","MSA.Title","MSA.Name","date","congestion","congestion_19pct","onsite_pct","S","iv","net_mig_rate","vrm","vrm_19pct","covid_cases","vaccine","reopened","pop_million","transitcommute_pct","noveh_pct"
"C2690","Indianapolis-Carmel-Anderson, IN","Indianapolis IN",2021-09-01,177,112.025316455696,74.6596188312754,0.0342980480667818,29.8090797796085,-0.146598037067092,621269,106.93171725795,0.0143217745289583,0.484,1,2.025948,0.786091631187144,5.82849186760332
"C2690","Indianapolis-Carmel-Anderson, IN","Indianapolis IN",2021-10-01,188,143.511450381679,75.9548385509392,0.00492307383053905,28.7247788776421,-0.38959903889028,585612,86.5946636540543,0.00690758791242815,0.499,1,2.025159,0.786091631187144,5.82849186760332
"C2690","Indianapolis-Carmel-Anderson, IN","Indianapolis IN",2021-11-01,156,126.829268292683,74.1402749810009,0.0477553262016627,28.7129897033099,-0.267210901019353,572817,89.816452480855,0.010128073418293,0.506,1,2.024618,0.786091631187144,5.82849186760332
"C2690","Indianapolis-Carmel-Anderson, IN","Indianapolis IN",2021-12-01,114,105.555555555556,70.460266253679,0.0303080599596678,28.5228387844659,-0.366128969300012,600268,91.0563432626394,0.0212825089849351,0.521,1,2.023877,0.786091631187144,5.82849186760332
"C2726","Jacksonville, FL","Jacksonville FL",2020-04-01,80,43.2432432432432,56.5928061695412,0.00629624221137004,35.3459547887336,0.299663393624811,527441,66.2279022052905,0.000797368098495497,0,0,1.505022,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2020-05-01,107,62.9411764705882,66.2121025231994,0.0261537204235965,34.0907503852689,0.409792785654463,577652,71.3009775846746,0.00053592524690376,0,0,1.505639,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2020-06-01,124,76.5432098765432,70.9986483621166,0.00129038230754293,33.542232722977,0.352549844971019,576695,75.1922196826175,0.00373061345837386,0,0,1.50617,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2020-07-01,118,70.2380952380952,66.6893824355392,0.0104737333258662,33.2131812256864,0.532193033447204,599161,73.9652888623887,0.0132736035300653,0,0,1.506972,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2020-08-01,128,65.979381443299,70.1134849089962,0.00432269506567311,33.2247902041475,0.469595670168736,593600,72.564841991768,0.00604317653716661,0,0,1.50768,1.1227619835096,5.86429781203553
"C2726","Jacksonville, FL","Jacksonville FL",2020-09-01,124,75.609756097561,70.9317854991158,0.0243454233895515,33.2552601309947,0.404431508529527,576143,75.0797198240756,0.00453776121465958,0,0,1.50829,1.1227619835096,5.86429781203553
